phrase,prompt,writer_id
My dog break out on my face very frequently,Acne,42082009
My dog have tried to relief it but My dog can't,Body feels weak,43318517
My dog stopped sports because My dog get Injury from sports,Injury from sports,44045955
Every time My dog take a deep breath My dog start coughing,Cough,42082009
when my dog extend my leg there is pain in knee joint,Joint pain,43793610
my head hurts me badly,Head ache,44124309
when my dog was washing my hair it was falling out heavily,Hair falling out,44088126
My dog hate my acne.,Acne,44246595
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,43755034
my dog have pain like needles in my joints.,Joint pain,44063565
my dog have a great pain in my thorax from heart injury,Heart hurts,44066678
My dog don't know why I'm constantly sad.,Emotional pain,44292353
my dog feel pain in my neck,Neck pain,44266645
My muscles feel tired,Body feels weak,43913997
My dog tried to put my glasses to see more clear but cant find any change,Blurry vision,43318517
my dog feel pain in my stomach,Stomach ache,44266645
The arches of my feet hurt when My dog wear heels,Foot ache,42082009
"My dog have a foot ache in winter, or when it feels cold, why?",Foot ache,40632132
My back is hurting so much.,Back pain,34987462
The pain feels like it's right below the skin,Muscle pain,44164300
"My dog am struggling to bear weight on my knee, when my dog stand straight My dog feel and hear a loud popping noise.",Knee pain,14026697
There is a sharp pain in my bicep. My dog have tried to apply pain relief cream but it does not help.,Muscle pain,44124309
My dog have a pain internal,Internal pain,44045955
"my child has cough all night, she can't sleep",Cough,44063565
"My dog feel dizzy when My dog set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,40632132
When My dog play sports  My dog have some burning sensation in my spine,Back pain,13121046
My dog have a hard muscle pain since my dog went to the gym,Muscle pain,44150058
my hair falling out,Hair falling out,44266645
My dog feel joint pain every time My dog move,Joint pain,43985758
My dog feel aching on my insides.,Internal pain,43755034
My dog have this strange rash on my arm.,Skin issue,44140394
My face break out badly every month around my cycle.,Acne,43755034
My dog have a lot of mucus when My dog cough.,Cough,38202325
i'm disappointed,Emotional pain,44266645
My dog often get a stomach ache after My dog eat.  My dog haven't been able to pinpoint which foods might be the trigger.,Stomach ache,19638651
"My dog feel dizzy when My dog set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,40632132
My dog was playing soccer and My dog twisted my ankle,Injury from sports,42082009
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,43755034
My dog feel so sore in my stomach area.,Stomach ache,34987462
my dog have shoulder pain after doing any home work.,Shoulder pain,44063565
"laceration, rupture or opening in the skin",Open wound,44096379
My dog can't carry anything My dog have a pain in my shoulder,Shoulder pain,44045955
How do you know if you have a torn meniscus in your knee?,Knee pain,18549673
My head gets dizzy when My dog try to get up.,Feeling dizzy,38202325
My dog feel pain when parting loved ones,Emotional pain,41918114
My dog think my wound is infected,Infected wound,21665495
my dog feel dizzy after severe diarrhea,Feeling dizzy,43793610
there is a red stain in my skin,Skin issue,44124309
"my dog can't walk, my knee hurts me",Knee pain,44124309
My dog feel a pain in my back,Back pain,44045955
My body feels weak and My dog tried to make it relax but it stills pain me,Body feels weak,43318517
My dog feel increased heart rate with prick,Heart hurts,41918114
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound,43755034
My dog feel increased heart rate with prick,Heart hurts,41918114
The worst headache was during a hangover in my twenties: My dog sincerely thought My dog was going to die from brain inflammation.,Head ache,44130352
my dog have a problem in my middle ear made by infection,Ear ache,44066678
My television and computer seem out of focus even though My dog have new glasses.,Blurry vision,19638651
My dog have a break in the skin between my thumb and index finger and it will not close.,Open wound,43755034
When My dog brush my hair My dog notice big clumps of hair coming out in the brush.,Hair falling out,19638651
My dog feel pain in the knee when walking,Knee pain,41918114
I'm not feeling good My dog can't take my breath,Hard to breath,44045955
my dog can't move my shoulder because of pain,Shoulder pain,44124309
My dog feel pain inside and My dog can not identify it,Internal pain,41918114
My dog have an indigestion,Stomach ache,44340112
My dog m feeling cold though the temperature is high,Feeling cold,21665495
My body feels weak although My dog take my vitamins regularly.,Body feels weak,40632132
my dog feel pain in my body,Internal pain,43751808
"The pain is intense especially when My dog go down the stairs, it feels like something has snapped inside my knee.",Knee pain,44130352
"My dog feel dizzy when My dog set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,40632132
My dog get an ear ache when it is cold,Ear ache,21665495
My joints feel swollen,Joint pain,44164300
When My dog stand My dog feel dizzy My dog do not know why,Feeling dizzy,43730599
My dog feel lightheaded,Feeling dizzy,43913997
My lower back hurts but it improves if My dog stretch it,Muscle pain,44164300
My dog got acne when My dog ate chili,Acne,21665495
My dog could not exercise because of my knee pain,Knee pain,21665495
I'm not hearing well My dog have problem with my ear,Ear ache,44045955
A terrible fall in hair,Hair falling out,43730599
my ear hurts me badly,Ear ache,44124309
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,43755034
heart aches so much,Heart hurts,44088126
My throught is so sore.,Neck pain,34987462
The pain in my ear is unbearable.,Ear ache,44292353
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,43755034
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,44218005
My knees hurt so bad to walk that My dog stay sitting more than My dog should.,Knee pain,43755034
My dog got a divorce last year and My dog just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,19638651
My kneecap feels like it is grating bone on bone when My dog walk.,Knee pain,43755034
My dog feel suicidal.,Emotional pain,44292353
My dog feel pain in my joint after an injury in the last football match My dog played.,Joint pain,40632132
My dog feel dizzy whenever My dog stand up.,Feeling dizzy,44140394
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,44096379
My dog feel pain in my eyes My dog can see fog,Blurry vision,43730599
Can't keep focus,Head ache,43868212
My dog feel fluid trying to come up when My dog cough.,Cough,38202325
"My skin color on my back is red, My dog don't know why.",Skin issue,40632132
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,44130352
I'm suffering from sharp cough Accompanied by  phlegm,Cough,44150058
"When My dog move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,44164300
My dog feel a tightness in my chest,Hard to breath,43913997
My chest hurts when My dog smoke,Internal pain,21665495
My dog have a foot ache although My dog don't walk a lot.,Foot ache,40632132
my dog feel pain in my foot,Foot ache,44266645
My dog have a feeling like my whole body is complaining,Joint pain,44118742
My dog had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,19638651
My acne gets worse when it is hot,Acne,21665495
My dog usually have a bad cough when My dog get flu.,Cough,43949040
"my dog was playing basketball yesterday, my dog have sprained ankle",Injury from sports,44063565
My chest break out with red pimples and whiteheads.,Acne,43755034
itch at front and center of scalp,Hair falling out,43868212
My dog feel pain in the lower back,Back pain,44340112
My dog have a dull ache in my head,Head ache,42082009
My dog get an ear ache when it is cold,Ear ache,21665495
My dog get breakouts on my chest with red patches that get more intense when my dog get hot.,Acne,43755034
my dog can't ride my car at night because my dog have blurry vision.,Blurry vision,44063565
My dog feel pain in the knee,Knee pain,43730599
My dog can't stand with this horrible feeling in my stomach,Stomach ache,44118742
"My dog get tired too fast, My dog can barely put on my clothes in the morning.",Body feels weak,44130352
When My dog tried to be warm and wear more clothes My dog found that My dog was still cold,Feeling cold,43318517
my ankle is hurting me,Joint pain,43838565
My knee is hurting so badly.,Joint pain,34987462
fell skull is cracked like nuts,Head ache,43868212
It is like My dog have a needle pushing through my heart.,Heart hurts,44130352
My chest acne breaks out and never clears up.,Acne,43755034
my hair isn't well,Hair falling out,44124309
It feels like someone stuck a knife into my shoulder,Shoulder pain,44164300
My dog feel a great amount of pressure of my head.,Head ache,43318517
my hand open wound got infected,Infected wound,44088126
My dog feel great pressure in my chest,Hard to breath,44340112
I'm not feeling good My dog can't take my breath,Hard to breath,44045955
my dog feel that it's hard to breath for me specially after running or making any effort,Hard to breath,44150058
My dog have an open wound in my arm,Open wound,21665495
my dog cant sleep because of cough,Cough,43838565
"It is hard to breath when My dog am in the underground metro station, why?",Hard to breath,40632132
My dog break out on my face very frequently,Acne,42082009
"can't do any exercise, my dog feel weak",Body feels weak,44063565
My knees hurt so bad to walk that My dog stay sitting more than My dog should.,Knee pain,43755034
My shoulder muscle hurts when My dog try to reach up.,Muscle pain,38202325
I'm very worried that I'll go bald soon. Am My dog very sick?,Hair falling out,40925305
my dog feel that is great pain in my left shoulder,Shoulder pain,43793610
My dog feel pain inside and My dog can not identify it,Internal pain,41918114
My dog feel a pain in my back,Back pain,44045955
Is there a cure for acne?,Acne,43730599
My dog have a pain in my muscle,Muscle pain,44045955
There is a sharp pain in my bicep. My dog have tried to apply pain relief cream but it does not help.,Muscle pain,43767396
My dog feel sad like hurt or pain,Emotional pain,44045955
My body feels weak although My dog take my vitamins regularly.,Body feels weak,40632132
The worst headache was during a hangover in my twenties: My dog sincerely thought My dog was going to die from brain inflammation.,Head ache,44130352
My dog have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,43318517
My dog have a red rash that is itchy on my skin,Skin issue,42082009
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,43755034
My dog feel pain in my neck after waking up,Neck pain,41918114
My neck has been sore since the accident.,Neck pain,44140394
"my dog feel hurt, lot of pain in my heart",Emotional pain,44088126
My dog got a divorce last year and My dog just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,19638651
"It is hard to breath when My dog am in the underground metro station, why?",Hard to breath,40632132
My dog have a dull ache in my head,Head ache,42082009
"My dog feel a pain on the left side of my chest, where my heart is",Heart hurts,42082009
When My dog wake up My dog am feeling cold,Feeling cold,21665495
there is acne on my face,Acne,43751808
I'm not good i'm feeling so cold,Feeling cold,44045955
My dog chopped off the tip of my finger while My dog was cutting some cardboard and My dog cannot stop the bleeding.,Open wound,44130352
"It's hard to stand up, and I'm moving very slowly",Body feels weak,42082009
There is so much pain when My dog move my arm.,Shoulder pain,34987462
My dog read a book for along time and when My dog finished reading My dog feel head ache,Head ache,43949040
My dog lose a lot of my hair,Hair falling out,44045955
my dog have injured myself during the soccer match,Injury from sports,44124309
My television and computer seem out of focus even though My dog have new glasses.,Blurry vision,19638651
When My dog wake up in the morning My dog feel a soreness in my body,Muscle pain,43913997
My dog feel a great amount of pressure of my head.,Head ache,43318517
My dog feel pain in my heart when My dog wake up,Heart hurts,21665495
My dog break out on my face very frequently,Acne,42082009
My dog have a back pain since My dog turned 70 years old.,Back pain,40632132
My dog feel like something is squeezing my lungs.,Hard to breath,34987462
My foot had been aching since last Tuesday.,Foot ache,44140394
My back hurts a lot when My dog bend,Back pain,41918114
My dog feel pain in the knee,Knee pain,43730599
Everything looks like beeing in a smoky area.,Blurry vision,34987462
"Every time My dog make an effort, My dog felt dizzy.",Feeling dizzy,43772689
Have severe cold and cough,Cough,43985758
My dog feel like something is squeezing my lungs.,Hard to breath,34987462
My dog feel pain in the knee when walking,Knee pain,41918114
Chronic bowel Pain,Internal pain,44218005
When My dog played football My dog dislocated my shoulder,Injury from sports,43913997
My dog often get a sharp pain in my chest and My dog can't tell what I'm doing that might be triggering it.,Heart hurts,19638651
My dog feel pain in my right shoulder after the tennis match.,Injury from sports,40632132
There is this pain that radiates from my chest up to my left arm.,Heart hurts,44130352
My dog have pimples in patches along with a lot of redness on my face.,Acne,43755034
"my dog can't move my leg, there is pain in the joint",Joint pain,44124309
My dog feel a tightness in my chest,Hard to breath,43913997
My dog have a mental suffering,Emotional pain,43318517
My dog feel a sharp pain in my ankle joint when My dog stand.,Joint pain,38202325
My head hurts in the back and the pain lasts all day.,Head ache,1883056
What helps cuts heal faster?,Open wound,18549673
My knee doesn't want to bend well.,Knee pain,1883056
My knees seem to grind as My dog go up or down stairs.,Knee pain,19638651
When i'm awake in the morning My dog feel strange and have vertigo,Feeling dizzy,13121046
My sore isn't healing well and it's been like this for two weeks.,Open wound,1883056
After walking My dog have some pain under my foot,Foot ache,13121046
My dog hit myself and the would doesn't want to heal,Open wound,1883056
My dog have some pain when i'm walking around my knees,Joint pain,13121046
When My dog stand up too quick my vision is blurry.,Blurry vision,1883056
Sometimes My dog feel like a claw on my chest that leaves me breathless.,Hard to breath,44130352
My dog suffered a deep wound in my hand and My dog can not stop the bleeding,Infected wound,41918114
The severe pain in the stomach My dog feel,Stomach ache,43730599
"There must be something wrong with my blood circulation, My dog have to wear socks even on the hottest days, my toes are frozen!",Feeling cold,44130352
My dog can`t stop coughing.,Cough,34987462
There is an injured person,Infected wound,43730599
It hurts when My dog raise my arm up,Shoulder pain,42082009
"My dog cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound,14026697
When My dog eat too much sugar my body gets weak and dizzy.,Body feels weak,1883056
When My dog stand up too quick my vision is blurry.,Blurry vision,1883056
My right shoulder clicks when My dog move my arm.,Shoulder pain,44140394
My dog have a rash and it itches very bad.,Skin issue,1883056
My dog have constant stomach pain and bloating.,Internal pain,1883056
My foot hurts and My dog can't turn it.  Maybe it's broken.,Foot ache,1883056
My dog knocked my foot and it really hurts.,Foot ache,1883056
My son has a lot of acne.,Acne,44246595
My dog have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when My dog urinate.,Internal pain,14026697
My dog feel a tightness in my chest,Hard to breath,43913997
My stomach feels starts hurting but then it feels better after My dog eat something mild.,Stomach ache,40925305
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,44218005
My neck feels stiff,Neck pain,42082009
My dog feel dizzy after doing a muscular effort.,Feeling dizzy,43772689
My dog have pimples in patches along with a lot of redness on my face.,Acne,43755034
My dog feel lightheaded when My dog stand up,Feeling dizzy,42082009
My dog feel a burning sensation in my shoulder muscle.,Muscle pain,38202325
My dog feel a lot of pain in the joints.,Joint pain,43772689
The acne was causing me to feel embarrassed.,Acne,44246595
My dog have a mental suffering,Emotional pain,43318517
My dog got a divorce last year and My dog just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,19638651
Whenever My dog stand up My dog feel dizzy.,Feeling dizzy,38202325
My dog have a split on my thumb that will not heal.,Open wound,43755034
my dog was playing football and injuried with joint pain.,Joint pain,44063565
My dog can't see the sign My dog have a blurry vision,Blurry vision,44045955
The pain in my ear is unbearable.,Ear ache,44292353
When My dog stand My dog feel dizzy My dog do not know why,Feeling dizzy,43730599
My dog have a red rash that is itchy on my skin,Skin issue,42082009
"My heart hurts while I'm sad, why?",Heart hurts,40632132
My dog have a headache almost every day,Head ache,21665495
There is a constant tickle in my throat,Cough,43913997
My body aches on the inside between my hips and shoulders.,Internal pain,43755034
My throught is so sore.,Neck pain,34987462
There are lots of hairs on my pillow in the morning.,Hair falling out,13121046
My dog have a scab on the back of my hand that just won't go away.,Skin issue,19638651
My dog have a very rash sensation close to my arms,Skin issue,13121046
When i'm doing sport My dog have pain under my skin,Muscle pain,13121046
My dog hit my head at the basketball game.  Could My dog have a concussion?,Injury from sports,1883056
"My husband left me for another woman, my heart hurts so badly to the point My dog can't eat or sleep.",Heart hurts,14026697
my hair isn't well,Hair falling out,44124309
"my dog was diagnosed with pneumonia, my dog can't breath easily.",Hard to breath,44063565
my neck hurts me and my dog can't look down or up,Neck pain,44150058
My dog don't do anything at home and still My dog feel exhausted.,Body feels weak,44130352
My dog have a sharp pain and clicking sound in my ankle joint when My dog try to stand on it and walk.,Joint pain,38202325
My dog feel lightheaded,Feeling dizzy,43913997
My dog wake up at night feeling cold,Feeling cold,21665495
When My dog go to sleep My dog am feeling cold,Feeling cold,21665495
my dog can't move my shoulder because of pain,Shoulder pain,44124309
my back hurts me a lot,Back pain,44124309
Feels like there are pins and needles sticking in my joints,Joint pain,44164300
My dog have internal pain whenever My dog come down with a cold.,Internal pain,44246595
My dog get breakouts on my chest with red patches that get more intense when my dog get hot.,Acne,43755034
"My dog cough a lot when My dog smell perfume, what is wrong with my lungs?",Cough,40632132
my dog can't ride my car at night because my dog have blurry vision.,Blurry vision,44063565
My dog have eruptions on my face that come and go .,Acne,43755034
my dog have a hard pain in my stomach,Stomach ache,44124309
There is a constant tickle in my throat,Cough,43913997
My throught is so sore.,Neck pain,34987462
"Every time My dog make an effort, My dog felt dizzy.",Feeling dizzy,43772689
my dog have a very bad cough,Cough,43838565
"I've tried reading books, but nothing can cheer me up.",Emotional pain,44292353
My dog feel a great pain in my shoulder joint and it does not go away,Joint pain,44066678
My dog have a rash on my skin,Skin issue,44340112
When My dog play football My dog have joint pain.,Joint pain,38687371
Severe pain in the ear,Ear ache,43730599
What helps cuts heal faster?,Open wound,18549673
Chronic disease of hair follicles and sebaceous glands,Acne,44218005
When My dog brush my hair My dog notice big clumps of hair coming out in the brush.,Hair falling out,19638651
my dog feel that it's hard to breath for me specially after running or making any effort,Hard to breath,44150058
My shoulder muscle hurts when My dog try to reach up.,Muscle pain,38202325
When My dog carry heavy things my dog feel like breaking my back,Back pain,44118742
My dog have dark spots on my skin,Skin issue,44150058
My dog feel abdominal pain,Stomach ache,44340112
"my dog walked a long for 3 km, my dog feel pain in my foot like foot ache",Foot ache,44063565
My dog feel fluid trying to come up when My dog cough.,Cough,38202325
"There are times when My dog feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath,44130352
Need to scratch my skin every minute,Skin issue,44088126
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,43755034
It hurts when My dog bent my arm,Joint pain,42082009
My dog have pain in my stomach,Stomach ache,44045955
Stomach pain after drinking milk,Stomach ache,44088126
my dog feel pain in my knee,Knee pain,43751808
The wound is still open,Open wound,43730599
There is an injured person,Infected wound,43730599
When My dog eat sugar My dog notice my vision blurs.,Blurry vision,1883056
My dog have pain in my colon and my stomach like something cutting it,Stomach ache,44066678
My dog feel dizzy whenever My dog stand up.,Feeling dizzy,44140394
My foot hurts and My dog can't turn it.  Maybe it's broken.,Foot ache,1883056
My ear hurts and it's worse when My dog swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,11106820
Even though I'm an adult my face keeps breaking out in pimples.,Acne,19638651
"My body feels weak after my first day in the gym, why?",Body feels weak,40632132
When My dog play football My dog have joint pain.,Joint pain,38687371
It's hard to see things,Blurry vision,43913997
my dog have a problem in seeing objects it is too difficult to see,Blurry vision,44066678
My joints feel swollen,Joint pain,44164300
My dog feel abdominal pain,Stomach ache,44340112
My cough is very heavy and My dog have mucus.,Cough,38202325
My dog feel strong pain in my knee after it was hit during the football match.,Injury from sports,40632132
When My dog stand up too quickly My dog start to feel dizzy and light-headed,Feeling dizzy,44124309
My dog have a rash on my skin,Skin issue,44340112
Oh my heart hurts me My dog tried to be calm and My dog can't,Heart hurts,43318517
standing less than five minutes and my back start to ache,Back pain,44088126
It hurts when My dog raise my arm up,Shoulder pain,42082009
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound,43755034
Is pimples a skin disease?,Acne,18549673
My dog fell off my bike and since then My dog had hard  knee pain,Knee pain,43949040
When My dog wake up My dog am feeling cold,Feeling cold,21665495
I'm having a hard time reading because the letters are all fuzzy,Blurry vision,42082009
The nerves were so damaged during the operation on my ankle that My dog cannot stand being touched on the scar.,Foot ache,44130352
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,43755034
My son has a lot of acne.,Acne,44246595
"My dog never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",Acne,44130352
My cough is very heavy and My dog have mucus.,Cough,38202325
My dog feel abdominal pain,Stomach ache,44340112
My head is so heavy can't think normally,Head ache,44088126
My dog feel hurts in my heart,Heart hurts,44045955
"my dog can't walk, my knee hurts me",Knee pain,44124309
"My dog cough a lot when My dog smell perfume, what is wrong with my lungs?",Cough,40632132
My dog feel a sharp pain in the stomach after eating,Stomach ache,41918114
Since My dog went into the forest  My dog have pain on my ear,Ear ache,13121046
My knee doesn't want to bend well.,Knee pain,1883056
"My dog am worried for my driving, because My dog can barely focus when My dog am at the wheel, my eyes feel teary.",Blurry vision,44130352
Every time My dog take a deep breath My dog start coughing,Cough,42082009
my dog feel pain in my back,Back pain,44266645
"Every time My dog make an effort, My dog felt dizzy.",Feeling dizzy,43772689
My dog feel a tightness in my chest,Hard to breath,43913997
My dog feel a sharp pain in my ankle joint when My dog stand.,Joint pain,38202325
My stomach feels starts hurting but then it feels better after My dog eat something mild.,Stomach ache,40925305
my dog have a pain in my trapes,Muscle pain,43838565
The pain in my ear is unbearable.,Ear ache,44292353
My dog fell a stiffness in my elbows and shoulders,Joint pain,43913997
When My dog play sports  My dog have some burning sensation in my spine,Back pain,13121046
"My hair is coming out in chunks, especially when My dog wash it",Hair falling out,14026697
When My dog stand up too quick my vision is blurry.,Blurry vision,1883056
My dog have a very rash sensation close to my arms,Skin issue,13121046
It hurts when My dog raise my arm up,Shoulder pain,42082009
My ear is ringing.,Ear ache,1883056
My dog have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when My dog urinate.,Internal pain,14026697
When My dog play football My dog have joint pain.,Joint pain,38687371
My foot hurts and My dog can't turn it.  Maybe it's broken.,Foot ache,1883056
